customer_id,customer_name,contact_name,address,city,postal_code,country
7,"Blondel père et fils","Frédérique Citeaux","24, place Kléber",Strasbourg,67000,France
9,"Bon app","Laurence Lebihans","12, rue des Bouchers",Marseille,13008,France
18,"Du monde entier","Janine Labrune","67, rue des Cinquante Otages",Nantes,44000,France
23,"Folies gourmandes","Martine Rancé","184, chaussée de Tournai",Lille,59000,France
26,"France restauration","Carine Schmitt","54, rue Royale",Nantes,44000,France
40,"La corne dabondance","Daniel Tonini","67, avenue de lEurope",Versailles,78000,France
41,"La maison dAsie","Annette Roulet","1 rue Alsace-Lorraine",Toulouse,31000,France
57,"Paris spécialités","Marie Bertrand","265, boulevard Charonne",Paris,75012,France
74,"Spécialités du monde","Dominique Perrier","25, rue Lauriston",Paris,75016,France
84,"Victuailles en stock","Mary Saveley","2, rue du Commerce",Lyon,69004,France
85,"Vins et alcools Chevalier","Paul Henriot","59 rue de lAbbaye",Reims,51100,France
